Step,v_hf_bsurf,v_hf_bsolv
8220,-2.0433E+11,-12460615000
8240,1.48426E+11,-67981990000
8260,21192132000,-16784049000
8280,-97431487000,-11488636000
8300,27835678000,-16423025000
8320,-2.35634E+11,24905783000
8340,2.53424E+11,2304396800
8360,-1.56639E+11,-21358681000
8380,96506100000,-6730927600
8400,1.06315E+11,17162434000
8420,-1.61468E+11,-3668013900
8440,2.34552E+11,-37212338000
8460,-2.43721E+11,35000120000
8480,2.01337E+11,-28753202000
8500,40411164000,12014175000
8520,-1.00133E+11,-11912402000
8540,1.26151E+11,30287302000
8560,-91693136000,-632046630
8580,92949470000,11085043000
8600,-1.07502E+11,-36288835000
8620,8630159100,3758420800
8640,405857500,-34936968000
8660,-1.45481E+11,18749983000
8680,97893898000,-8876063800
8700,-37880666000,-11484551000
8720,1.42354E+11,-22745957000
8740,-80889083000,-6879401800
8760,35381159000,-3592992200
8780,27524138000,-13521814000
8800,-1.12492E+11,8277702300
8820,2.56539E+11,10926451000
8840,-1.84085E+11,7773083500
8860,1.01401E+11,20402951000
8880,-67342017000,1608696100
8900,-57721754000,30300904000
8920,1.22062E+11,14483892000
8940,-66127387000,28043766000
8960,71811279000,22047925000
8980,-93995117000,12512929000
9000,5441339000,14319431000
9020,36980380000,-2762769100
9040,-86622691000,-4864090400
9060,1.45734E+11,12526812000
9080,-1.55125E+11,-11275448000
9100,1.08963E+11,11626987000
9120,-2031055500,-17847242000
9140,-60624146000,-27187294000
9160,1.68157E+11,-14515411000
9180,-4386889900,-15154707000
9200,47926592000,1454402900
9220,-1.25307E+11,-6524936900
9240,23827597000,30672540000
9260,36545527000,-30428425000
9280,-72321505000,6787186600
9300,1.6349E+11,-43728583000
9320,-1.45132E+11,-35409301000
9340,58992629000,-14858144000
9360,-1.38775E+11,644539640
9380,72685920000,27942327000
9400,97919445000,11568973000
9420,-1.93101E+11,33935454000
9440,36480831000,30714901000
9460,-64350563000,4819823100
9480,56685630000,8626805700
9500,57409331000,41341774000
9520,-77998082000,13459179000
9540,-29515883000,-15522639000
9560,-1.65739E+11,17675584000
9580,1.36992E+11,-6172651300
9600,-24897347000,-10149505000
9620,53480293000,7638187200
9640,23335811000,-14733212000
9660,-1.40746E+11,-37202786000
9680,1.33875E+11,-797712160
9700,-98937564000,-43710724000
9720,51476459000,-9927402300
9740,34562625000,-20520172000
9760,-98376117000,-17816452000
9780,63233981000,13586841000
9800,-48938565000,8066326300
9820,1.76285E+11,-5743380600
9840,-37419903000,6995668000
9860,4234772100,-29952389000
9880,-32301974000,23548562000
9900,-1.04153E+11,10468057000
9920,1.02058E+11,1394270700
9940,-78665950000,-11710438000
9960,71140382000,-1129478100
9980,-34479903000,-16346670000
10000,24605203000,-15964971000
10020,76485362000,30646440000
10040,-1.13826E+11,-24384727000
10060,1.4783E+11,845803500
10080,-69324037000,25897725000
10100,63310444000,-66013002000
10120,-33180334000,7963902600
10140,-98737927000,-15687946000
10160,1.51668E+11,-4447905100
10180,-58938138000,11813928000
10200,1.28254E+11,3001271300
10220,-89488881000,16133607000
10240,24973396000,30777465000
10260,1800684000,31111333000
10280,-61618085000,27711434000
10300,1.3301E+11,664494140
10320,-8107332200,-8817884800
10340,-16248786000,10005614000
10360,-69171508000,27734795000
10380,5399412100,-14013325000
10400,1.18135E+11,6590091600
10420,-1.21574E+11,11424455000
10440,70563018000,-8228218200
10460,-59986872000,-5065857500
10480,-77122224000,30304360000
10500,98882527000,-12800286000
10520,-1.14208E+11,-13673032000
10540,79120212000,-9118930800
10560,-45582367000,1231320300
10580,-82795651000,22643669000
10600,1.25035E+11,20319749000
10620,-67937822000,2353848900
10640,55320117000,42073851000
10660,-38035561000,25214604000
10680,-30848062000,-18099073000
10700,-20145454000,21712383000
10720,-4937691000,-20856824000
10740,38855371000,-18162200000
10760,-65566279000,53990102000
10780,77459749000,-37962491000
10800,-53895071000,2709814300
10820,-18224710000,3355632600
10840,83698006000,19671911000
10860,-84777568000,-7964989600
10880,66109704000,10032115000
10900,-57337986000,-26533084000
10920,1.04452E+11,-45486624000
10940,-52171434000,-7550176600
10960,-10799783000,-26794315000
10980,79875723000,51877672000
11000,-1.5242E+11,3231069700
11020,1.38422E+11,2591001500
11040,-14569110000,29797260000
11060,39718738000,3985807100
11080,-45251873000,34499185000
11100,-52015251000,6928930100
11120,17826700000,15796048000
11140,-76867216000,-6197810900
11160,63140675000,-30423656000
11180,6576433600,-20071928000
11200,15318037000,-11848919000
11220,12635998000,12145863000
11240,-13859850000,4207545200
11260,33311594000,55718630000
11280,-1.47391E+11,-13389383000
11300,1.2922E+11,-2074136800
11320,53301891000,40723593000
11340,-1.22034E+11,27361103000
11360,82687156000,-3973587500
11380,-61632743000,4582586200
11400,1.16412E+11,-16338190000
11420,-1.11625E+11,25463803000
11440,66329982000,-7869765900
11460,-60382552000,8076036700
11480,-33453446000,24268966000
11500,74511908000,-19932230000
11520,-1.24955E+11,-22880259000
11540,82056353000,-8599539800
11560,-34249410000,27325979000
11580,-31716993000,-33658320000
11600,78955186000,-67265953
11620,-1.02159E+11,-2657238700
11640,15697405000,20216073000
11660,-27498395000,-12499197000
11680,53782700000,4395485500
11700,-49178247000,-10399166000
11720,21792180000,31057746000
11740,34979415000,955269170
11760,-83772473000,33495576000
11780,2352179700,24646398000
11800,-94680703000,11605460000
11820,16713108000,-23307696000
11840,-1296970500,-14734128000
11860,1553358100,-20812579000
11880,28198537000,3215094200
11900,-61821454000,18221793000
11920,65498588000,36164059000
11940,-48016188000,9578615800
11960,61676700000,9210383100
11980,-29799434000,8907954700
12000,-33869670000,1299347500
12020,29885896000,-5992031400
12040,-85739683000,-43740889000
12060,27972047000,-15313218000
12080,-36137908000,-16201022000
12100,63825696000,9363473300
12120,-13402087000,-9379772400
12140,19521354000,-26501516000
12160,12648972000,-26356300000
12180,-21200982000,-31906484000
12200,88024293000,2793800500
12220,-26356704000,3773066500
12240,-1.03575E+11,-10715445000
12260,-14391843000,-26711432000
12280,25769655000,-16559311000
12300,-5904969500,-4971230700
12320,-45192065000,-64917449000
12340,63553478000,-5459067700
12360,-96839257000,-7050499000
12380,-22811651000,5312537000
12400,-2039960000,16600543000
12420,1.2399E+11,716565060
12440,21478385000,105908860
12460,-39256195000,26655882000
12480,35837469000,-1181100000
12500,-42409012000,42290154000
12520,-26209355000,18025237000
12540,96519491000,-33751688000
12560,-80980480000,-1696711100
12580,69890394000,7076300600
12600,-75782026000,-22317258000
12620,95948640000,-3403156400
12640,-1924687700,-8187936800
12660,-52824997000,-7977438100
12680,-12411435000,3252137500
12700,6832808200,22535957000
12720,94063759000,5839015100
12740,-55676314000,26462410000
12760,1.53918E+11,5546733600
12780,-90408764000,14430772000
12800,-1.46103E+11,-15058713000
12820,5651336500,22658141000
12840,-26316974000,10698386000
12860,70185924000,35589242000
12880,34268899000,-12990983000
12900,-14560130000,23923402000
12920,-33749450000,3524931700
12940,-4476042200,42469420000
12960,-3921514700,-2271933700
12980,-11197212000,-38149036000
13000,49971121000,1729155100
13020,-74739220000,34104579000
13040,-27309714000,19120190000
13060,1.08156E+11,30391299000
13080,-27108619000,9719728600
13100,1.05373E+11,-13843267000
13120,-1.43414E+11,5750258900
13140,-41181678000,-7355292300
13160,-24764434000,-2758480000
13180,39481659000,-31046210000
13200,38546049000,-41862031000
13220,72294457000,-20603371000
13240,-23117694000,-36422434000
13260,-35531129000,-39910259000
13280,17423034000,34318403000
13300,18580029000,18482150000
13320,-98770186000,13495118000
13340,1.2189E+11,49920725000
13360,-1.31562E+11,11704267000
13380,4054981200,-36505240000
13400,-5078824900,15389493000
13420,-11840254000,-13838395000
13440,1.56624E+11,1040355100
13460,-78772225000,20800283000
13480,-8761981100,-13959898000
13500,-70335110000,-6437728400
13520,60960918000,21306150000
13540,34385760000,-9561238700
13560,-87545369000,17389870000
13580,10089644000,-1833943000
13600,-54132723000,-8224916200
13620,62990880000,29597758000
13640,36944145000,-8507512100
13660,-18557986000,-1957456900
13680,-8191360500,-12110970000
13700,-95944635000,13121794000
13720,-34578383000,-25143278000
13740,38291429000,-21976975000
13760,-33547123000,-20162321000
13780,52922678000,-34487326000
13800,-9397731500,26349743000
13820,43443833000,8794299000
13840,-98639417000,19569692000
13860,39010072000,4788174700
13880,39567356000,41299276000
13900,-25510341000,-1184360900
13920,-16687622000,33719538000
13940,1.34038E+11,-20723699000
13960,24089351000,-30064729000
13980,-62888406000,-25538776000
14000,-1957529000,5131504500
14020,-9518512900,-13816425000
14040,-76628852000,29376076000
14060,1.15433E+11,-4685597600
14080,-7983579300,846294190
14100,37472610000,9006597000
14120,14861197000,-13960170000
14140,-14189341000,-27908125000
14160,-22813394000,414293950
14180,2687471300,-137659930
14200,21937754000,-25865831000
14220,24311941000,-1155420600
14240,3285803800,-21068260000
14260,17126483000,-23151267000
14280,-91883145000,7145562200
14300,-12064192000,36860812000
14320,-5402983900,40716481000
14340,30335339000,9976974900
14360,-74678747000,4037281000
14380,63378895000,-31328793000
14400,-504860080,11939876000
14420,-40398433000,-13943257000
14440,1.24156E+11,-13077109000
14460,-22897402000,-5168287500
14480,25720419000,6716510900
14500,-63544941000,-8609757100
14520,72864899000,47351422000
14540,6161117000,-8986743300
14560,-1.0078E+11,18255447000
14580,48650912000,13887841000
14600,-80621727000,-1394872000
14620,59262560000,-4109649300
14640,36331018000,-12974500000
14660,33479302000,21848375000
14680,70006092000,2676583000
14700,-1.3587E+11,16694516000
14720,-31837905000,-678544980
14740,-48507992000,-15904070000
14760,24086379000,10989832000
14780,7472620000,-32063308000
14800,11074717000,-6003793700
